customer_id,customer_name,industry,segment,city,state,region,account_owner_employee_id,credit_rating,signup_date,active_flag
1,Vance Refrigeration,Financial Services,Mid-Market,Scranton,PA,Northeast,121,B,2010-08-21,True
2,Lackawanna County,Government,SMB,Scranton,PA,Northeast,222,B,2012-08-04,True
3,W.B. Jones Heating & Cooling,Healthcare,SMB,Scranton,PA,Northeast,265,A,2016-05-15,True
4,Blue Cross of Pennsylvania,Construction,SMB,Scranton,PA,Northeast,2,B,2009-09-07,True
5,Scranton White Pages,Manufacturing,SMB,Scranton,PA,Northeast,111,A,2012-05-16,True
6,Dunmore High School,Real Estate,Mid-Market,Scranton,PA,Northeast,478,A,2011-02-14,True
7,Apex Technology,Legal,SMB,Scranton,PA,Northeast,479,C,2018-11-13,True
8,Krieger-Murphy,Technology,Mid-Market,Scranton,PA,Northeast,83,B,2016-08-18,True
9,Harper Collins Realty,Legal,SMB,Scranton,PA,Northeast,458,A,2013-11-28,True
10,Scranton Business Park,Real Estate,Mid-Market,Scranton,PA,Northeast,438,B,2012-04-26,True
11,Cumberland Mills,Financial Services,SMB,Scranton,PA,Northeast,116,B,2013-07-14,True
12,Penn Paper Supply,Construction,SMB,Scranton,PA,Northeast,184,B,2017-02-17,True
13,Lakawanna Cty Library,Healthcare,SMB,Scranton,PA,Northeast,379,B,2014-11-09,False
14,Steamtown Mall,Nonprofit,Enterprise,Scranton,PA,Northeast,254,C,2018-03-03,True
15,Poor Richard's Pub,Education,SMB,Scranton,PA,Northeast,292,B,2011-01-21,True
16,Granite Legal Corp,Nonprofit,Mid-Market,Pittsburgh,PA,Northeast,422,A,2015-08-20,True
17,Fairview Retail Partners,Manufacturing,Enterprise,Buffalo,NY,Northeast,439,C,2012-12-23,True
18,Northstar Healthcare Enterprises,Healthcare,SMB,Boston,MA,Northeast,184,A,2016-01-15,True
19,Northstar Technology Enterprises,Hospitality,Enterprise,Newark,NJ,Northeast,384,B,2016-10-18,True
20,Evergreen Hospitality Group,Technology,SMB,Albany,NY,Northeast,121,A,2018-08-31,True
21,Harbor Real Co,Healthcare,Mid-Market,Philadelphia,PA,Northeast,78,B,2014-01-06,True
22,Whitmore Real Corp,Government,SMB,Allentown,PA,Northeast,412,A,2010-03-14,True
23,Cornerstone Financial Corp,Hospitality,Mid-Market,Trenton,NJ,Northeast,488,B,2017-07-09,True
24,Ironwood Hospitality Inc,Nonprofit,Mid-Market,Philadelphia,PA,Northeast,265,A,2013-06-03,True
25,Oakfield Manufacturing Inc,Retail,SMB,Philadelphia,PA,Northeast,497,A,2015-08-16,True
26,Northstar Education Associates,Construction,Mid-Market,Buffalo,NY,Northeast,161,A,2017-04-24,True
27,Riverside Manufacturing Group,Retail,SMB,Rochester,NY,Northeast,188,A,2017-07-29,False
28,Fairview Retail Enterprises,Technology,Enterprise,Hartford,CT,Northeast,488,B,2017-08-11,True
29,Pioneer Hospitality Inc,Financial Services,SMB,Newark,NJ,Northeast,39,B,2017-11-16,True
30,Sterling Legal Associates,Hospitality,Enterprise,Buffalo,NY,Northeast,188,C,2013-09-22,True
31,Summit Education Associates,Nonprofit,Enterprise,Philadelphia,PA,Northeast,111,B,2013-05-29,True
32,Summit Technology Inc,Construction,Mid-Market,Pittsburgh,PA,Northeast,76,A,2017-05-02,True
33,Pioneer Education Associates,Legal,Mid-Market,Trenton,NJ,Northeast,306,B,2012-11-26,True
34,Evergreen Financial Inc,Nonprofit,Enterprise,Allentown,PA,Northeast,174,C,2013-01-30,True
35,Silverton Technology Co,Legal,SMB,Cleveland,OH,Midwest,18,A,2014-05-23,False
36,Sterling Legal Group,Real Estate,Mid-Market,Syracuse,NY,Northeast,354,B,2008-04-27,True
37,Pioneer Education Associates,Construction,SMB,Rochester,NY,Northeast,121,C,2015-11-15,True
38,Maple Legal Associates,Hospitality,Mid-Market,Allentown,PA,Northeast,231,B,2008-04-03,True
39,Riverside Retail LLC,Manufacturing,SMB,Trenton,NJ,Northeast,61,A,2017-09-13,True
40,Cornerstone Legal Enterprises,Government,SMB,Trenton,NJ,Northeast,306,B,2011-02-15,True
41,Redwood Government Solutions,Government,SMB,Allentown,PA,Northeast,189,C,2017-09-03,True
42,Harbor Healthcare Partners,Government,SMB,Wilmington,DE,Northeast,488,A,2014-06-04,True
43,Beacon Healthcare Inc,Legal,SMB,Rochester,NY,Northeast,6,A,2015-07-26,True
44,Harbor Education Inc,Legal,SMB,Worcester,MA,Northeast,249,C,2018-03-24,True
45,Riverside Healthcare Group,Legal,SMB,Columbus,OH,Midwest,304,B,2008-06-28,True
46,Evergreen Legal Services,Government,SMB,Worcester,MA,Northeast,489,B,2017-05-17,False
47,Liberty Government Inc,Construction,SMB,Pittsburgh,PA,Northeast,304,B,2017-11-23,True
48,Summit Healthcare Inc,Hospitality,SMB,Boston,MA,Northeast,370,B,2012-03-06,True
49,Evergreen Technology Inc,Construction,SMB,New Haven,CT,Northeast,238,A,2010-09-13,True
