branch_id,employee_id,year,quarter,quota,actual_revenue,attainment_pct
1,2,2019,1,40055.0,41573.1,103.8
1,2,2019,2,36893.0,43014.74,116.6
1,2,2019,3,49661.0,51400.81,103.5
1,2,2019,4,74219.0,69401.48,93.5
1,2,2020,1,53781.0,45593.71,84.8
1,2,2020,2,34957.0,30908.05,88.4
1,2,2020,3,77119.0,67734.88,87.8
1,2,2020,4,95361.0,85036.48,89.2
1,2,2021,1,79620.0,80725.97,101.4
1,2,2021,2,50387.0,54400.8,108.0
1,2,2021,3,93615.0,90458.89,96.6
1,2,2021,4,94384.0,97207.62,103.0
1,2,2022,1,83389.0,79303.46,95.1
1,2,2022,2,79717.0,72810.22,91.3
1,2,2022,3,109732.0,97604.02,88.9
1,2,2022,4,80972.0,90877.15,112.2
1,2,2023,1,77497.0,85614.89,110.5
1,2,2023,2,78024.0,77210.27,99.0
1,2,2023,3,75228.0,87030.1,115.7
1,2,2023,4,111213.0,94063.07,84.6
1,3,2019,1,64638.0,59728.54,92.4
1,3,2019,2,45971.0,53809.67,117.1
1,3,2019,3,49252.0,49346.14,100.2
1,3,2019,4,56649.0,60357.98,106.5
1,3,2020,1,51769.0,42991.05,83.0
1,3,2020,2,25914.0,29036.4,112.0
1,3,2020,3,35703.0,37550.47,105.2
1,3,2020,4,93776.0,78016.53,83.2
1,3,2021,1,92420.0,81974.07,88.7
1,3,2021,2,66540.0,74327.64,111.7
1,3,2021,3,70737.0,78373.83,110.8
1,3,2021,4,98236.0,106480.17,108.4
1,3,2022,1,80374.0,79461.35,98.9
1,3,2022,2,82244.0,83039.31,101.0
1,3,2022,3,94842.0,84063.05,88.6
1,3,2022,4,80276.0,85612.64,106.6
1,3,2023,1,67578.0,75523.97,111.8
1,3,2023,2,67778.0,67637.63,99.8
1,3,2023,3,84055.0,76585.94,91.1
1,3,2023,4,111390.0,106913.32,96.0
1,5,2019,1,46044.0,47768.41,103.7
1,5,2019,2,56907.0,64400.44,113.2
1,5,2019,3,58521.0,49987.83,85.4
1,5,2019,4,74065.0,59314.9,80.1
1,5,2020,1,37590.0,40037.96,106.5
1,5,2020,2,54884.0,44318.91,80.8
1,5,2020,3,51586.0,54791.93,106.2
1,5,2020,4,81264.0,96312.36,118.5
1,5,2021,1,91615.0,77597.18,84.7
1,5,2021,2,81946.0,84335.61,102.9
1,5,2021,3,94110.0,85813.38,91.2
1,5,2021,4,120560.0,102144.04,84.7
1,5,2022,1,89136.0,95882.41,107.6
1,5,2022,2,59758.0,66629.5,111.5
1,5,2022,3,98409.0,97129.96,98.7
1,5,2022,4,83440.0,88291.94,105.8
1,5,2023,1,74274.0,81136.09,109.2
1,5,2023,2,98480.0,101659.23,103.2
1,5,2023,3,112019.0,94260.6,84.1
1,5,2023,4,114024.0,118237.84,103.7
1,6,2019,1,59458.0,53446.94,89.9
1,6,2019,2,61399.0,57641.18,93.9
1,6,2019,3,61175.0,58506.2,95.6
1,6,2019,4,62824.0,63992.21,101.9
1,6,2020,1,57978.0,47943.14,82.7
1,6,2020,2,37578.0,37858.23,100.7
1,6,2020,3,83891.0,68041.19,81.1
1,6,2020,4,87090.0,99629.22,114.4
1,6,2021,1,83069.0,80174.38,96.5
1,6,2021,2,58418.0,66197.56,113.3
1,6,2021,3,89702.0,100210.12,111.7
1,6,2021,4,110288.0,93245.37,84.5
1,6,2022,1,75968.0,87398.49,115.0
1,6,2022,2,69856.0,76142.39,109.0
1,6,2022,3,140113.0,121434.06,86.7
1,6,2022,4,100610.0,93434.19,92.9
1,6,2023,1,65861.0,70085.32,106.4
1,6,2023,2,70776.0,78486.21,110.9
1,6,2023,3,69660.0,74825.15,107.4
1,6,2023,4,81958.0,95583.07,116.6
1,7,2019,1,43337.0,46629.0,107.6
1,7,2019,2,41289.0,45332.42,109.8
1,7,2019,3,45019.0,53770.99,119.4
1,7,2019,4,64598.0,64862.63,100.4
1,7,2020,1,49384.0,57229.1,115.9
1,7,2020,2,36923.0,31616.43,85.6
1,7,2020,3,66203.0,66508.1,100.5
1,7,2020,4,83482.0,87220.55,104.5
1,7,2021,1,67302.0,64100.71,95.2
1,7,2021,2,97938.0,83885.62,85.7
1,7,2021,3,92520.0,99555.84,107.6
1,7,2021,4,109884.0,105599.53,96.1
1,7,2022,1,88370.0,73531.67,83.2
1,7,2022,2,69262.0,70076.43,101.2
1,7,2022,3,68691.0,81110.58,118.1
1,7,2022,4,90154.0,104976.54,116.4
1,7,2023,1,81323.0,80123.79,98.5
1,7,2023,2,72464.0,86160.31,118.9
1,7,2023,3,72359.0,83319.8,115.1
1,7,2023,4,113236.0,107406.1,94.9
1,18,2019,1,55028.0,52191.88,94.8
1,18,2019,2,60547.0,50665.34,83.7
1,18,2019,3,58764.0,61424.86,104.5
1,18,2019,4,64980.0,73205.1,112.7
1,18,2020,1,47766.0,43298.68,90.6
1,18,2020,2,42109.0,35409.19,84.1
1,18,2020,3,42548.0,39877.48,93.7
1,18,2020,4,82253.0,97475.71,118.5
1,18,2021,1,86185.0,71722.48,83.2
1,18,2021,2,90921.0,78468.57,86.3
1,18,2021,3,68452.0,78649.47,114.9
1,18,2021,4,97895.0,96658.02,98.7
1,18,2022,1,96268.0,94334.85,98.0
1,18,2022,2,110633.0,91691.77,82.9
1,18,2022,3,88480.0,87233.68,98.6
1,18,2022,4,116074.0,94309.48,81.2
1,18,2023,1,96329.0,93505.15,97.1
1,18,2023,2,90756.0,86667.19,95.5
1,18,2023,3,63264.0,75125.55,118.7
1,18,2023,4,99572.0,106820.18,107.3
7,39,2019,1,31151.0,27568.32,88.5
7,39,2019,2,25812.0,29290.54,113.5
7,39,2019,3,32751.0,28841.68,88.1
7,39,2019,4,33482.0,27309.31,81.6
7,39,2020,1,23530.0,28025.85,119.1
7,39,2020,2,17799.0,19230.47,108.0
7,39,2020,3,33513.0,29260.34,87.3
7,39,2020,4,29795.0,29112.96,97.7
7,39,2021,1,31331.0,35224.29,112.4
7,39,2021,2,44416.0,39620.04,89.2
7,39,2021,3,21059.0,25001.13,118.7
7,39,2021,4,32872.0,29116.37,88.6
7,39,2022,1,23456.0,26611.5,113.5
7,39,2022,2,22449.0,25370.75,113.0
7,39,2022,3,36026.0,37924.95,105.3
7,39,2022,4,40443.0,32446.94,80.2
7,39,2023,1,19119.0,21298.65,111.4
7,39,2023,2,30884.0,35185.76,113.9
7,39,2023,3,18872.0,19728.96,104.5
7,39,2023,4,34101.0,28168.93,82.6
6,45,2019,1,26064.0,23422.73,89.9
6,45,2019,2,31810.0,36328.45,114.2
6,45,2019,3,40616.0,37493.12,92.3
6,45,2019,4,31021.0,36514.12,117.7
6,45,2020,1,27581.0,32739.04,118.7
