response_id,employee_id,department,level,submitted_date,q_pipeline_confidence,q_sql_literacy,q_etl_understanding,q_communicate_data,q_spreadsheet_skill,q_data_for_change,q_data_viz,q_when_to_adopt_ai,q_help_others_adopt,q_lead_change_mgmt,freq_ai_email,freq_ai_reports,freq_ai_code,freq_ai_review,primary_barrier
1,1,Management,5,2023-06-15,4,4,3,5,5,5,4,4,2,4,2,3,3,2,
2,2,Sales,3,2023-06-15,3,2,4,4,3,4,3,4,3,3,4,2,4,1,Time pressure
3,3,Sales,3,2023-06-15,3,3,3,4,4,3,4,3,3,4,4,3,2,2,Unclear value
4,4,Administration,2,2023-06-15,2,3,4,3,3,3,2,3,2,2,2,3,1,1,Time pressure
5,5,Sales,3,2023-06-15,4,2,2,2,3,2,3,2,3,3,3,2,2,2,Unclear value
6,6,Sales,3,2023-06-15,3,3,3,3,4,3,3,4,3,4,3,3,1,2,Skill gap
7,7,Sales,3,2023-06-15,3,3,2,3,3,2,3,2,4,3,2,2,1,4,Skill gap
8,8,Accounting,3,2023-06-15,4,4,3,5,4,3,5,3,3,3,3,2,3,3,
9,9,Accounting,2,2023-06-15,2,3,3,5,3,4,3,2,3,4,3,2,2,2,Data privacy
10,10,Accounting,3,2023-06-15,4,4,3,4,3,4,3,3,4,3,4,2,2,3,Trust in output
11,11,Human Resources,3,2023-06-15,4,3,3,3,3,2,2,3,3,3,4,2,1,1,Time pressure
12,12,Customer Service,2,2023-06-15,4,3,3,2,3,3,3,3,3,2,3,3,2,3,Skill gap
13,13,Supplier Relations,2,2023-06-15,3,2,2,3,3,2,3,3,3,3,2,3,2,3,Time pressure
14,14,Quality Assurance,2,2023-06-15,3,2,2,3,3,1,2,2,1,3,3,1,2,3,Unclear value
15,15,Warehouse,3,2023-06-15,3,2,2,3,3,3,3,2,2,2,3,2,2,3,Time pressure
16,16,Administration,1,2023-06-15,2,1,1,1,2,1,1,1,1,1,1,2,1,1,Trust in output
17,17,Warehouse,1,2023-06-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unclear value
18,18,Sales,2,2023-06-15,4,3,2,3,3,2,3,4,3,3,2,2,1,2,Skill gap
19,19,Human Resources,3,2023-06-15,2,2,3,4,4,3,2,3,3,3,3,3,1,3,Time pressure
20,20,Management,4,2023-06-15,3,3,3,3,3,4,4,2,2,3,4,2,2,3,Skill gap
21,21,Management,4,2023-06-15,3,2,3,3,4,3,2,3,3,2,2,3,2,2,Unclear value
29,29,Human Resources,3,2023-06-15,3,2,1,2,3,3,3,3,3,3,2,3,2,2,Unclear value
32,33,Warehouse,1,2023-06-15,1,1,1,1,2,1,1,2,1,1,3,1,3,1,Time pressure
33,34,Human Resources,3,2023-06-15,3,3,2,4,3,1,3,2,2,3,2,3,3,4,Skill gap
34,35,Human Resources,3,2023-06-15,3,4,4,3,4,3,4,4,3,3,3,4,3,2,Skill gap
35,36,Human Resources,3,2023-06-15,3,2,2,2,1,3,2,3,2,3,2,3,2,1,Trust in output
38,39,Sales,3,2023-06-15,4,4,3,3,3,2,4,3,3,3,3,3,4,2,Time pressure
39,40,Accounting,3,2023-06-15,3,3,4,4,4,4,3,4,2,4,4,4,1,4,Data privacy
40,41,Customer Service,2,2023-06-15,3,4,3,3,4,3,2,3,3,3,3,3,2,3,Data privacy
42,43,Human Resources,3,2023-06-15,2,3,2,3,4,3,3,3,2,3,4,2,2,4,Unclear value
44,45,Sales,3,2023-06-15,3,3,3,4,4,2,2,3,3,2,3,3,2,2,Trust in output
47,48,Accounting,3,2023-06-15,2,3,3,3,4,3,3,3,3,3,3,4,3,2,Skill gap
