machine_id,date,temp_mean,vib_mean,pres_mean,cur_mean,hum_mean,temp_mean_roll7,temp_mean_roll7_std,vib_mean_roll7,vib_mean_roll7_std,pres_mean_roll7,pres_mean_roll7_std,cur_mean_roll7,cur_mean_roll7_std,units_produced,scrap_units,machine_type,criticality,rated_capacity_units_hr,machine_age_days,days_since_maintenance,failed_within_7_days
1,2022-01-01,59.637,2.161,83.617,35.287,34.133,58.691,0.932,2.204,0.055,85.017,1.785,33.703,0.78,0.0,0.0,Wrapper,2,600,2497,7.0,0
1,2022-01-02,58.747,2.151,84.723,31.707,32.333,58.71,0.932,2.205,0.054,84.972,1.789,33.469,1.09,3427.0,47.0,Wrapper,2,600,2498,8.0,0
1,2022-01-03,58.05,2.148,85.217,34.047,33.167,58.409,0.696,2.186,0.047,85.373,1.389,33.627,1.081,1379.0,23.0,Wrapper,2,600,2499,9.0,0
1,2022-01-04,59.107,2.171,84.313,31.537,30.6,58.517,0.742,2.173,0.033,85.092,1.374,33.28,1.318,4897.0,84.0,Wrapper,2,600,2500,10.0,0
1,2022-01-05,59.843,2.275,85.31,31.033,29.5,58.843,0.753,2.181,0.049,84.722,0.653,32.964,1.569,5724.0,142.0,Wrapper,2,600,2501,11.0,0
1,2022-01-06,58.57,2.213,83.72,34.383,34.367,58.825,0.759,2.191,0.047,84.478,0.664,33.116,1.658,5151.0,105.0,Wrapper,2,600,2502,12.0,1
1,2022-01-07,59.857,2.255,89.407,33.077,34.167,59.116,0.698,2.196,0.052,85.187,1.976,33.01,1.629,4915.0,78.0,Wrapper,2,600,2503,13.0,1
1,2022-01-08,60.737,2.72,87.327,33.65,32.433,59.273,0.922,2.276,0.202,85.717,1.982,32.776,1.34,2051.0,54.0,Wrapper,2,600,2504,14.0,1
1,2022-01-09,59.827,2.65,92.45,34.0,31.633,59.427,0.91,2.347,0.236,86.82,3.146,33.104,1.315,2687.0,37.0,Wrapper,2,600,2505,15.0,1
1,2022-01-10,62.8,2.93,92.853,34.04,36.567,60.106,1.368,2.459,0.301,87.911,3.761,33.103,1.314,4361.0,339.0,Wrapper,2,600,2506,16.0,1
1,2022-01-11,61.483,3.071,95.837,34.123,33.6,60.445,1.373,2.588,0.347,89.558,4.393,33.472,1.154,1658.0,139.0,Wrapper,2,600,2507,17.0,1
1,2022-01-12,61.363,3.365,99.4,34.4,35.033,60.662,1.382,2.743,0.42,91.57,5.264,33.953,0.463,0.0,0.0,Wrapper,2,600,2508,18.0,1
1,2022-01-13,58.63,2.161,83.69,33.54,34.167,60.671,1.367,2.736,0.431,91.566,5.271,33.833,0.441,5806.0,446.0,Wrapper,2,600,2509,0.0,0
1,2022-01-14,59.193,2.25,83.797,32.18,32.5,60.576,1.453,2.735,0.432,90.765,6.027,33.705,0.732,0.0,0.0,Wrapper,2,600,2510,1.0,0
1,2022-01-15,57.927,2.117,83.403,32.297,32.167,60.175,1.758,2.649,0.492,90.204,6.559,33.511,0.907,0.0,0.0,Wrapper,2,600,2511,2.0,0
