ORDER_NO,CUST_ID,BRANCH,ORDER_DT,SHIP_DT,STATUS,AMT
ORD0011087,348,1,10/13/2022,10/14/2022,FULFILLED,$141.58
ORD0040070,2336,1,11/14/2022,11/18/2022,FULFILLED,$935.18
ORD0047033,1443,1,04/18/2022,04/21/2022,FULFILLED,$129.75
ORD0054771,1462,1,09/10/2022,09/11/2022,FULFILLED,$558.58
ORD0017898,212,1,09/14/2022,09/16/2022,RETURNED,$340.58
ORD0053345,2497,1,06/28/2022,06/30/2022,FULFILLED,$797.09
ORD0058118,98,1,07/11/2022,07/14/2022,FULFILLED,"$1,923.92"
ORD0031829,2283,1,12/05/2022,12/07/2022,RETURNED,$870.64
ORD0069886,2194,1,05/04/2022,05/05/2022,FULFILLED,$99.57
ORD0017665,1735,1,04/04/2022,04/08/2022,FULFILLED,$275.94
ORD0042995,653,1,11/14/2022,11/17/2022,FULFILLED,$956.73
ORD0020494,1297,1,12/02/2022,12/07/2022,FULFILLED,"$2,779.26"
ORD0052109,880,1,03/29/2022,03/31/2022,FULFILLED,"$1,221.95"
ORD0022882,2256,1,11/18/2022,11/21/2022,FULFILLED,"$1,456.88"
ORD0029974,1455,1,11/16/2022,11/21/2022,FULFILLED,"$1,648.96"
ORD0064482,2097,1,12/23/2022,12/25/2022,FULFILLED,$301.30
ORD0020177,532,1,05/24/2022,05/27/2022,FULFILLED,$184.50
ORD0006156,1857,1,07/18/2022,07/19/2022,FULFILLED,"$1,247.85"
ORD0064714,1672,1,07/15/2022,07/19/2022,FULFILLED,$796.63
ORD0066271,1211,1,10/07/2022,10/09/2022,FULFILLED,$474.23
ORD0067500,1182,1,12/09/2022,12/13/2022,FULFILLED,$859.61
ORD0001233,1307,1,08/29/2022,09/01/2022,FULFILLED,$388.54
ORD0016377,1408,1,08/23/2022,08/25/2022,FULFILLED,$424.16
ORD0013164,1892,1,09/16/2022,09/20/2022,FULFILLED,$386.76
ORD0069978,184,1,08/12/2022,08/16/2022,FULFILLED,"$1,215.91"
ORD0068602,1048,1,06/02/2022,06/06/2022,FULFILLED,"$2,230.57"
ORD0035628,1357,1,12/05/2022,12/10/2022,FULFILLED,$544.46
ORD0070738,489,1,04/19/2022,04/21/2022,FULFILLED,"$2,480.63"
ORD0013593,708,1,10/26/2022,10/29/2022,FULFILLED,$54.95
ORD0028882,2329,1,03/17/2022,03/18/2022,FULFILLED,$404.01
ORD0025089,755,1,01/20/2022,01/21/2022,FULFILLED,$293.71
ORD0045183,2100,1,09/28/2022,09/29/2022,FULFILLED,$319.80
ORD0045673,1264,1,02/08/2022,02/11/2022,FULFILLED,$741.00
ORD0011731,949,1,04/01/2022,04/05/2022,FULFILLED,$472.04
ORD0058229,377,1,04/13/2022,04/15/2022,FULFILLED,$139.26
ORD0008226,1890,1,04/20/2022,04/22/2022,FULFILLED,$270.37
ORD0030398,2322,1,05/26/2022,05/28/2022,FULFILLED,$202.62
ORD0044102,1875,1,12/02/2022,12/04/2022,FULFILLED,"$1,379.37"
ORD0016699,810,1,02/18/2022,,CANCELLED,$326.20
ORD0014594,2010,1,08/02/2022,08/04/2022,FULFILLED,"$2,152.99"
ORD0008774,222,1,07/26/2022,07/31/2022,FULFILLED,"$1,124.03"
ORD0001715,1464,1,11/20/2022,11/21/2022,FULFILLED,"$4,096.16"
ORD0055063,1472,1,11/09/2022,11/13/2022,FULFILLED,$628.09
ORD0022038,1267,1,07/15/2022,07/20/2022,FULFILLED,$691.92
ORD0028597,1991,1,08/19/2022,08/23/2022,FULFILLED,$506.85
ORD0062905,14,1,06/17/2022,06/18/2022,FULFILLED,$126.84
ORD0036097,2057,1,12/21/2022,12/24/2022,FULFILLED,$71.75
ORD0028065,1216,1,01/12/2022,01/17/2022,FULFILLED,$77.04
ORD0038129,1044,1,12/23/2022,12/26/2022,FULFILLED,"$1,013.21"
ORD0037980,1660,1,01/01/2022,01/05/2022,FULFILLED,"$1,570.26"
ORD0048272,2046,1,01/24/2022,01/28/2022,FULFILLED,"$1,074.72"
ORD0055748,1460,1,06/07/2022,06/11/2022,FULFILLED,$190.57
ORD0064552,605,1,07/08/2022,07/11/2022,RETURNED,$413.68
ORD0011643,1362,1,05/28/2022,06/02/2022,FULFILLED,$621.59
ORD0039126,2353,1,12/08/2022,12/12/2022,FULFILLED,$72.80
