Date,Client,Rep,Product,Qty,Total $,Notes
01/05/22,Whitmore Nonprofit Services,83,Standard White Cardstock 184gsm (250 ct),19,249.36,check w/ Dwight
09/02/22,Ridgeline Nonprofit Services,5,Economy Pink Glossy Photo 196gsm (1000 ct),23,365.24,net-30
07/07/22,Cascade Nonprofit Inc,5,Standard Pink Letterhead 95gsm (1000 ct),~11,107.03,net-30
06/28/22,Redwood Financial Goup,104,Economy White Cardstock 269gsm (500 ct),~8,136.4,net-30
02/10/22,Conerstone Retail Associates,161,Standard Blue Textured 142gsm (500 ct),15,230.01,
12/03/22,Summi Hospitality Co,7,Premium White Cardstock 276gsm (250 ct),30,634.2,
02/15/22,Beacon Retail Associates,5,Premium White Cardstock 276gsm (250 ct),37,823.25,check w/ Dwight
02/07/22,Riverside Retal Associates,5,Economy White Glossy Photo 187gsm (500 ct),36,656.96,
05/27/22,Sterling Healthcare Servces,18,Economy Bright White Newsprint 46gsm (250 ct),~4,13.48,check w/ Dwight
04/26/22,Harbor Nonprofit Solutions,238,Standard Cream Legal Pad 68gsm (500 ct),10,75.6,rush order
04/19/22,Sterling Manufacuring LLC,3,Economy Blue Envelope 106gsm (250 ct),38,280.69,net-30
05/18/22,Maple Nonprofit LLC,161,Premium Assorted Glossy Photo 171gsm (500ct),~4,78.16,rush order
05/16/22,Granite Nonprofit Group,18,Premium Blue Ledger 121gsm (250 ct),33,455.2,rush order
03/08/22,Liberty Manufacturing LLC,83,Premium White Recycled Copy 78gsm (100 ct),8,53.58,rush order
10/11/22,Liberty Healthcare Group,5,Premium Assorted Construction 30gsm (250 ct),61,764.94,call before ship
06/22/22,Ridgeline Healthcare Associates,83,Premium Assorted Letterhead 108gsm (1000 ct),19,225.91,rush order
07/13/22,Irnwood Manufacturing Enterprises,18,Premium Pink Legal Pad 69gsm (500 ct),50,464.0,rush order
09/05/22,Oakfield Government Corp,7,Premium Assorted Ledger 135gsm (1000 ct),11,172.3,
02/10/22,Granite Real Enterprises,3,Premium Assorted Leterhead 108gsm (1000 ct),9,112.68,check w/ Dwight
03/21/22,Redwood Hospitality Services,3,Standard Ivory Ledger 126gsm (250 ct),31,302.76,check w/ Dwight
12/28/22,Oakfield Government LLC,279,Premium Yellow Copy Paper 79gsm (250 ct),4,32.68,check w/ Dwight
04/13/22,Maple Retail Corp,161,Standar White Newsprint 52gsm (500 ct),7,24.26,
08/21/22,Keystone Nonprofit Solutions,6,Standard Yellow Colored Copy 86gsm (100 ct),28,207.76,call before ship
05/30/22,Keystone Real Co,83,Stndard Blue Textured 142gsm (500 ct),29,343.62,net-30
03/26/22,Summit Government Group,3,Premium Pink Textured 189gsm (1000 ct),~15,272.09,rush order
12/31/22,Granite Hositality Services,5,Economy Assorted Cardstock 182gsm (500 ct),16,180.06,
12/08/22,Pioneer Technology Corp,18,Economy White Construcion 102gsm (500 ct),10,61.88,
08/20/22,Ironwood Technology Co,6,Economy White Construction 102gsm (500 ct),25,182.0,
05/28/22,Fairview Government Services,279,Premium Bright White Cardstock 224gsm (250 ct),33,665.61,
10/05/22,Silverton Healthcre Corp,2,Standard Cream Letterhead 117gsm (250 ct),24,293.57,
08/20/22,Cascade Government Services,83,Premium Assorted Cardstock 181gsm (1000 ct),16,273.6,check w/ Dwight
06/14/22,Fairview Governmnt Corp,2,Standard Ivory Letterhead 114gsm (250 ct),26,241.28,
01/18/22,Evergreen Healthcare Co,18,Standard Yellow Construction 93gsm (1000 t),32,248.88,repeat client
06/13/22,Redwood Technology Corp,104,Standard Cream Envelope 87gsm (250 ct),6,46.74,net-30
02/27/22,Riverside Construction Solutions,18,Standard White Newsprnt 52gsm (500 ct),18,69.7,check w/ Dwight
12/12/22,Sterling Education Corp,238,Economy Pink Textured 111gsm (250 ct),30,307.89,check w/ Dwight
04/12/22,Summit Healthcare Associates,238,Economy Ivory Colored Copy 80gsm (1000 ct),a dozen,542.08,check w/ Dwight
05/27/22,Sterling Construction Group,5,Standard Cream Copy Paper 86gsm (1000 ct),26,179.92,call before ship
06/02/22,Sterling Construction Solutions,6,Economy White Copy Paper 86gsm (250 ct),58,259.32,net-30
12/19/22,Riverside Retail Solutions,5,Economy Yellow Newsprint 52gsm (250 c),72,178.7,repeat client
12/16/22,Brightwater Construction Enterrises,3,Economy Yellow Newsprint 5gsm (250 ct),~4,10.52,check w/ Dwight
04/25/22,Riverside Hospitality Partners,161,Standard White Colored Copy 80gsm (1000 ct),~19,134.18,
12/11/22,Fairview Nnprofit Associates,6,Economy Yellow Glossy Photo 210gsm (500 ct),6,101.31,call before ship
04/21/22,Maple Constructon Inc,2,Premium Yellow Ledge 145gsm (1000 ct),a dozen,86.13,
04/20/22,Evergreen Hospiality LLC,18,Premium Bright White Colored Copy 94gsm (1000 ct),~19,196.46,
12/23/22,Keystone Retail Co,238,Economy Pink Glossy Photo 196gsm (1000 ct),25,397.0,rush order
08/02/22,Whitmore Legal Enterprises,3,Standard Blue Envelope 89gsm (250 ct),16,134.64,
09/29/22,Beacon onprofit Co,279,Economy Cream Envelope 4gsm (250 ct),9,61.38,call before ship
08/09/22,Fairview Manufacturing Co,83,Economy Yellow Glossy Photo 210gsm (500 ct),4,64.84,
07/28/22,Granite Nonprofit Group,161,Standard Cream Legal Pad 68gsm (500 ct),12,90.72,rush order
08/19/22,Summit Education Inc,3,Standard White Construction 120gsm (250 t),~11,91.96,net-30
03/31/22,Male Healthcare Associates,161,Economy Bright White Newsprint 46gsm (250 ct),21,67.29,repeat client
03/10/22,Oakfield Nonprofit Solutions,6,Economy Cream Construction 82gsm (1000 ct),58,297.77,
03/15/22,IronwoodGovernment Inc,3,Premium Yellow Ledger 115gsm (500 ct),~34,478.38,check w/ Dwight
04/01/22,Cornerstone Financial Corp,18,Standard Pink Newsprint 53gsm (250 ct),37,208.68,
08/02/22,Ironwood Nonprofit Partners,279,Economy Blue Ledger 134gsm (500 ct),3,31.38,net-30
01/04/22,Redwood Nonprofit Solutions,161,Pemium Pink Legal Pad 69gsm (500 ct),16,148.48,call before ship
01/09/22,Redwood Hospitality Solutions,18,Economy Assorted Recycled Copy 4gsm (1000 ct),21,94.29,call before ship
03/10/22,Harbor Healthcare Inc,7,Premium Cream Copy Paper 78gsm (1000ct),~45,401.4,rush order
11/03/22,Fairview Nonprofit Services,18,Premium Assorted Ledger 92gsm (250 ct),51,528.44,rush order
