order_line_id,order_id,product_id,quantity,unit_price,line_total,unit_cost,margin
19,7,73,100,10.97,1097.0,6.87,410.0
20,7,69,8,7.89,63.12,5.27,20.96
21,7,22,24,6.34,152.16,4.58,42.24
31,10,119,14,6.82,95.48,4.78,28.56
32,10,18,22,4.84,106.48,2.7,47.08
33,10,4,6,8.17,49.02,4.7,20.82
34,10,47,23,16.03,368.69,9.77,143.98
35,10,75,3,14.24,42.72,8.01,18.69
36,11,9,103,5.23,538.69,3.67,160.68
37,11,4,41,8.17,334.97,4.7,142.27
38,11,17,31,8.76,271.56,5.06,114.7
39,11,44,14,17.06,238.84,11.28,80.92
55,16,17,28,8.32,232.96,5.06,91.28
56,16,100,11,4.94,54.34,3.2,19.14
57,16,49,27,9.24,249.48,6.8,65.88
58,16,109,41,14.75,604.75,9.91,198.44
59,16,110,21,15.31,321.51,11.52,79.59
129,40,48,7,23.47,164.29,13.99,66.36
130,40,10,12,5.61,67.32,3.4,26.52
131,40,33,67,17.1,1145.7,11.24,392.62
132,40,17,28,8.76,245.28,5.06,103.6
133,40,51,21,8.6,180.6,5.46,65.94
151,47,35,8,17.05,136.4,10.85,49.6
152,47,38,24,20.02,480.48,11.9,194.88
153,47,108,4,16.75,67.0,11.94,19.24
154,47,107,9,10.37,93.33,6.0,39.33
175,54,82,32,9.07,290.24,5.91,101.12
176,54,72,14,14.07,196.98,8.93,71.96
177,54,18,5,4.84,24.2,2.7,10.7
178,54,17,34,8.76,297.84,5.06,125.8
241,76,37,17,13.9,236.3,9.8,69.7
242,76,96,42,3.33,139.86,2.38,39.9
243,76,8,15,4.3,64.5,2.78,22.8
259,80,83,69,7.29,503.01,4.21,212.52
260,80,70,6,10.76,64.56,6.89,23.22
261,80,75,7,14.24,99.68,8.01,43.61
262,80,50,42,12.68,532.56,8.18,189.0
263,80,33,6,17.1,102.6,11.24,35.16
306,98,78,41,12.09,495.69,6.86,214.43
307,98,3,9,9.39,84.51,5.9,31.41
308,98,9,3,5.23,15.69,3.67,4.68
309,99,96,11,3.15,34.65,2.38,8.47
310,99,82,17,7.71,131.07,5.91,30.6
316,102,15,17,6.2,105.4,4.03,36.89
317,102,117,15,8.69,130.35,6.0,40.35
318,102,109,80,15.53,1242.4,9.91,449.6
319,102,78,4,12.09,48.36,6.86,20.92
349,112,93,3,2.92,8.76,1.67,3.75
392,127,71,19,9.22,175.18,6.29,55.67
421,140,36,93,15.84,1473.12,11.32,420.36
422,140,89,43,7.28,313.04,4.55,117.39
423,140,84,36,6.36,228.96,3.53,101.88
424,140,43,25,16.59,414.75,9.59,175.0
455,151,52,35,11.89,416.15,7.33,159.6
456,151,83,24,6.93,166.32,4.21,65.28
457,151,68,11,5.91,65.01,4.2,18.81
458,151,8,65,4.54,295.1,2.78,114.4
459,151,6,25,6.2,155.0,4.69,37.75
467,154,38,2,20.02,40.04,11.9,16.24
468,154,45,10,16.72,167.2,11.87,48.5
469,154,95,6,3.86,23.16,2.3,9.36
470,154,78,13,12.09,157.17,6.86,67.99
565,183,70,18,9.68,174.24,6.89,50.22
566,183,58,20,11.21,224.2,8.15,61.2
567,183,73,6,10.97,65.82,6.87,24.6
632,200,22,57,7.04,401.28,4.58,140.22
646,205,10,63,4.77,300.51,3.4,86.31
647,205,76,4,10.66,42.64,7.24,13.68
648,205,24,42,10.03,421.26,8.38,69.3
649,205,105,66,11.85,782.1,9.0,188.1
650,205,102,27,11.34,306.18,7.69,98.55
695,220,5,9,8.32,74.88,5.46,25.74
696,220,119,3,6.14,18.42,4.78,4.08
697,220,113,11,8.03,88.33,5.99,22.44
698,220,62,55,6.66,366.3,5.17,81.95
699,220,2,29,8.97,260.13,6.61,68.44
747,239,96,12,3.52,42.24,2.38,13.68
748,239,116,10,12.3,123.0,8.16,41.4
860,274,87,7,8.24,57.68,5.73,17.57
861,274,91,36,3.79,136.44,2.55,44.64
862,274,62,36,6.66,239.76,5.17,53.64
924,293,12,3,4.49,13.47,3.35,3.42
928,295,16,6,4.71,28.26,3.12,9.54
929,295,44,12,17.06,204.72,11.28,69.36
930,295,37,11,15.44,169.84,9.8,62.04
953,304,51,90,8.17,735.3,5.46,243.9
954,304,28,18,9.97,179.46,6.99,53.64
