order_id,order_date,customer_id,branch_id,sales_rep_employee_id,channel,order_status,ship_date,discount_pct
7,2022-03-29,930,1,3,Field Sales,Fulfilled,2022-03-31,0.1
10,2022-08-29,1578,1,5,Field Sales,Fulfilled,2022-09-02,0.0
11,2022-12-19,1501,1,6,Field Sales,Fulfilled,2022-12-23,0.0
16,2022-09-14,519,1,6,Field Sales,Fulfilled,2022-09-15,0.05
40,2022-10-23,649,1,104,Field Sales,Fulfilled,2022-10-27,0.0
47,2022-01-07,738,1,6,Field Sales,Cancelled,,0.0
54,2022-08-02,820,1,3,Field Sales,Fulfilled,2022-08-07,0.0
76,2022-04-07,69,1,161,Field Sales,Fulfilled,2022-04-11,0.1
80,2022-12-27,1571,1,83,Field Sales,Fulfilled,2023-01-01,0.0
98,2022-10-05,86,1,5,Phone,Fulfilled,2022-10-10,0.0
99,2022-05-06,1820,1,2,Field Sales,Fulfilled,2022-05-08,0.15
102,2022-12-29,1042,1,3,Online,Fulfilled,2023-01-01,0.0
112,2022-05-12,1261,1,104,Field Sales,Fulfilled,2022-05-17,0.0
127,2022-01-07,784,1,83,Field Sales,Fulfilled,2022-01-08,0.15
140,2022-11-17,733,1,83,Field Sales,Fulfilled,2022-11-22,0.0
151,2022-10-20,1019,1,104,Phone,Fulfilled,2022-10-21,0.05
154,2022-06-04,1859,1,5,Phone,Fulfilled,2022-06-07,0.0
183,2022-07-13,577,1,6,Online,Fulfilled,2022-07-17,0.1
200,2022-02-02,1654,1,83,Field Sales,Cancelled,,0.0
205,2022-03-14,459,1,18,Phone,Fulfilled,2022-03-17,0.15
220,2022-10-05,1930,1,161,Phone,Fulfilled,2022-10-10,0.1
239,2022-12-18,1903,1,279,Phone,Fulfilled,2022-12-20,0.05
274,2022-07-15,1878,1,18,Phone,Fulfilled,2022-07-20,0.1
293,2022-12-12,1235,1,161,Field Sales,Fulfilled,2022-12-13,0.05
295,2022-09-01,792,1,7,Phone,Fulfilled,2022-09-04,0.0
304,2022-12-26,2028,1,83,Field Sales,Fulfilled,2022-12-28,0.05
314,2022-02-08,360,1,83,Phone,Fulfilled,2022-02-09,0.0
318,2022-10-25,195,1,18,Phone,Fulfilled,2022-10-27,0.15
333,2022-01-31,1916,1,18,Field Sales,Fulfilled,2022-02-02,0.0
353,2022-02-15,1590,1,5,Phone,Fulfilled,2022-02-18,0.0
394,2022-08-31,1254,1,3,Field Sales,Fulfilled,2022-09-05,0.0
397,2022-12-24,1501,1,18,Online,Fulfilled,2022-12-29,0.0
398,2022-10-06,1706,1,18,Field Sales,Fulfilled,2022-10-08,0.1
402,2022-12-01,1506,1,104,Phone,Fulfilled,2022-12-03,0.0
404,2022-08-31,2183,1,279,Phone,Fulfilled,2022-09-04,0.05
446,2022-03-27,1139,1,5,Field Sales,Returned,2022-03-28,0.0
458,2022-04-27,819,1,279,Field Sales,Returned,2022-05-01,0.05
480,2022-03-05,158,1,7,Phone,Fulfilled,2022-03-09,0.0
497,2022-10-18,442,1,238,Field Sales,Fulfilled,2022-10-21,0.05
503,2022-02-07,2129,1,83,Phone,Fulfilled,2022-02-08,0.1
513,2022-04-21,1805,1,83,Online,Fulfilled,2022-04-26,0.0
519,2022-10-23,2333,1,161,Field Sales,Returned,2022-10-27,0.1
541,2022-04-07,1356,1,279,Field Sales,Fulfilled,2022-04-11,0.05
559,2022-05-28,1884,1,83,Online,Fulfilled,2022-05-29,0.05
570,2022-03-21,952,1,238,Field Sales,Fulfilled,2022-03-25,0.0
598,2022-05-17,1799,1,6,Field Sales,Fulfilled,2022-05-21,0.05
617,2022-09-18,284,1,6,Field Sales,Cancelled,,0.1
624,2022-09-16,1485,1,6,Phone,Fulfilled,2022-09-20,0.0
640,2022-12-29,1398,1,18,Phone,Fulfilled,2023-01-01,0.0
647,2022-05-04,1215,1,5,Field Sales,Fulfilled,2022-05-09,0.0
659,2022-11-14,950,1,6,Phone,Fulfilled,2022-11-18,0.0
664,2022-06-30,1952,1,2,Field Sales,Fulfilled,2022-07-01,0.0
674,2022-03-21,397,1,5,Online,Fulfilled,2022-03-25,0.05
693,2022-03-25,2298,1,238,Phone,Fulfilled,2022-03-27,0.0
694,2022-03-19,1189,1,104,Field Sales,Fulfilled,2022-03-21,0.0
696,2022-04-13,1194,1,104,Field Sales,Fulfilled,2022-04-16,0.1
714,2022-06-30,1477,1,279,Field Sales,Fulfilled,2022-07-01,0.05
728,2022-08-10,2383,1,83,Field Sales,Cancelled,,0.0
736,2022-08-01,2203,1,104,Field Sales,Fulfilled,2022-08-03,0.0
752,2022-05-02,2381,1,6,Phone,Returned,2022-05-04,0.1
754,2022-12-20,1141,1,6,Field Sales,Fulfilled,2022-12-21,0.05
787,2022-03-09,811,1,5,Phone,Fulfilled,2022-03-10,0.1
802,2022-09-24,784,1,104,Field Sales,Fulfilled,2022-09-26,0.05
819,2022-05-06,165,1,279,Phone,Fulfilled,2022-05-11,0.05
826,2022-06-20,1024,1,161,Phone,Fulfilled,2022-06-21,0.0
835,2022-07-08,1979,1,279,Phone,Fulfilled,2022-07-12,0.1
845,2022-05-11,2170,1,238,Field Sales,Returned,2022-05-14,0.05
849,2022-04-20,2122,1,18,Phone,Fulfilled,2022-04-21,0.0
858,2022-11-16,2081,1,5,Field Sales,Fulfilled,2022-11-18,0.0
859,2022-11-05,2060,1,3,Field Sales,Fulfilled,2022-11-09,0.0
872,2022-07-20,396,1,279,Phone,Fulfilled,2022-07-22,0.05
876,2022-07-27,1597,1,161,Phone,Fulfilled,2022-07-31,0.05
914,2022-04-19,1425,1,18,Phone,Returned,2022-04-23,0.05
922,2022-10-03,1927,1,6,Field Sales,Fulfilled,2022-10-06,0.0
925,2022-11-24,1178,1,279,Field Sales,Fulfilled,2022-11-25,0.05
938,2022-07-14,584,1,5,Phone,Fulfilled,2022-07-16,0.1
949,2022-11-09,1980,1,6,Online,Cancelled,,0.05
956,2022-07-20,1095,1,2,Online,Fulfilled,2022-07-21,0.0
961,2022-01-14,1748,1,5,Field Sales,Fulfilled,2022-01-16,0.0
