event_id,machine_id,event_date,event_type,failure_mode,downtime_hours,repair_cost
1,1,2019-01-08,Preventive,,2.4,293.05
2,1,2019-02-06,Preventive,,2.1,821.92
3,1,2019-02-16,Failure,Blade dull,2.8,1088.34
4,1,2019-03-12,Preventive,,1.8,576.45
5,1,2019-03-23,Failure,Blade dull,3.5,786.7
6,1,2019-04-07,Preventive,,2.5,379.11
7,1,2019-04-11,Failure,Web break,3.5,726.56
8,1,2019-05-01,Failure,Motor overheat,4.1,1178.16
9,1,2019-05-09,Failure,Blade dull,12.5,2751.49
10,1,2019-05-10,Preventive,,2.3,606.18
11,1,2019-06-08,Preventive,,3.5,407.04
12,1,2019-07-11,Preventive,,1.1,206.54
13,1,2019-08-09,Preventive,,1.5,667.97
14,1,2019-09-11,Preventive,,3.8,336.16
15,1,2019-10-08,Preventive,,2.6,678.12
16,1,2019-11-07,Preventive,,1.6,858.5
17,1,2019-12-06,Preventive,,1.2,319.54
18,1,2020-01-02,Preventive,,3.7,732.35
19,1,2020-02-04,Preventive,,2.4,885.94
20,1,2020-03-08,Preventive,,1.7,877.0
21,1,2020-04-09,Preventive,,2.1,872.22
22,1,2020-05-07,Preventive,,2.7,856.37
23,1,2020-05-23,Failure,Control fault,2.2,4186.9
24,1,2020-06-07,Preventive,,2.5,318.26
25,1,2020-07-01,Failure,Blade dull,7.2,560.05
26,1,2020-07-10,Preventive,,1.1,710.19
27,1,2020-08-13,Preventive,,3.3,497.23
28,1,2020-09-16,Preventive,,2.1,244.2
29,1,2020-10-16,Preventive,,3.0,735.14
30,1,2020-11-11,Preventive,,3.3,446.65
31,1,2020-12-13,Preventive,,2.1,862.97
32,1,2021-01-02,Failure,Roller misalignment,2.6,4463.25
33,1,2021-01-12,Failure,Bearing wear,1.1,4739.0
34,1,2021-01-16,Preventive,,2.5,799.82
35,1,2021-02-17,Preventive,,3.1,309.86
36,1,2021-03-18,Preventive,,3.3,353.56
37,1,2021-04-13,Preventive,,2.6,426.7
38,1,2021-05-12,Preventive,,3.4,851.7
39,1,2021-06-14,Preventive,,1.6,605.8
40,1,2021-07-18,Preventive,,3.4,298.8
41,1,2021-07-18,Failure,Web break,4.4,524.73
42,1,2021-08-21,Preventive,,2.1,835.83
43,1,2021-09-20,Preventive,,2.3,691.43
44,1,2021-10-22,Preventive,,1.1,674.71
45,1,2021-11-02,Failure,Web break,7.0,3406.68
46,1,2021-11-23,Preventive,,1.4,363.64
47,1,2021-12-25,Preventive,,4.0,839.12
48,1,2022-01-13,Failure,Roller misalignment,2.3,901.52
49,1,2022-01-24,Preventive,,1.9,333.21
50,1,2022-02-25,Preventive,,3.9,893.03
51,1,2022-03-29,Preventive,,1.6,435.24
52,1,2022-03-31,Failure,Blade dull,1.6,6037.96
53,1,2022-04-18,Failure,Hydraulic leak,2.9,3743.23
54,1,2022-04-24,Preventive,,4.0,786.75
55,1,2022-05-28,Preventive,,3.8,521.19
56,1,2022-06-14,Failure,Motor overheat,1.7,1199.56
57,1,2022-06-26,Preventive,,2.6,241.13
58,1,2022-07-25,Preventive,,3.2,318.96
59,1,2022-08-23,Preventive,,2.3,387.41
60,1,2022-09-23,Preventive,,3.4,481.41
61,1,2022-10-25,Preventive,,3.0,226.97
62,1,2022-11-21,Preventive,,1.4,357.11
63,1,2022-12-22,Preventive,,3.6,253.62
64,1,2022-12-31,Failure,Roller misalignment,3.6,5719.65
65,1,2023-01-18,Preventive,,2.9,855.34
66,1,2023-02-13,Preventive,,2.7,627.09
67,1,2023-02-14,Failure,Motor overheat,3.0,1021.55
68,1,2023-03-12,Preventive,,3.1,752.26
69,1,2023-04-14,Preventive,,3.0,768.82
70,1,2023-05-14,Preventive,,3.3,472.77
71,1,2023-06-09,Preventive,,1.3,664.12
72,1,2023-07-12,Preventive,,1.3,660.99
73,1,2023-08-14,Preventive,,3.5,424.17
74,1,2023-08-24,Failure,Bearing wear,1.2,529.93
75,1,2023-09-10,Preventive,,3.2,461.29
76,1,2023-10-07,Preventive,,1.2,320.79
77,1,2023-11-08,Preventive,,3.5,280.39
78,1,2023-12-11,Preventive,,1.5,567.71
79,2,2019-01-11,Preventive,,1.0,279.3
80,2,2019-01-31,Failure,Bearing wear,4.1,1594.95
81,2,2019-02-12,Preventive,,3.7,400.13
82,2,2019-03-16,Preventive,,2.3,886.88
83,2,2019-04-11,Preventive,,3.2,708.49
84,2,2019-04-11,Failure,Roller misalignment,5.4,2403.95
85,2,2019-05-14,Preventive,,2.3,788.08
86,2,2019-06-17,Preventive,,1.2,801.9
87,2,2019-07-14,Preventive,,1.4,445.59
88,2,2019-08-03,Failure,Web break,2.0,2276.76
89,2,2019-08-12,Preventive,,1.2,474.98
90,2,2019-09-08,Preventive,,1.2,797.46
91,2,2019-10-10,Preventive,,3.3,495.13
92,2,2019-10-18,Failure,Web break,6.1,1026.32
93,2,2019-11-10,Preventive,,1.6,485.11
94,2,2019-12-08,Preventive,,1.8,674.98
95,2,2020-01-03,Preventive,,2.8,285.7
96,2,2020-01-31,Preventive,,2.4,853.05
97,2,2020-02-26,Preventive,,1.6,401.51
98,2,2020-03-30,Preventive,,2.1,294.48
99,2,2020-04-09,Failure,Blade dull,2.8,1511.23
100,2,2020-05-03,Preventive,,2.1,365.6
101,2,2020-05-29,Preventive,,3.8,299.05
102,2,2020-06-24,Preventive,,1.2,670.32
103,2,2020-07-14,Failure,Blade dull,3.6,3291.72
104,2,2020-07-20,Preventive,,3.5,209.12
105,2,2020-08-23,Preventive,,1.2,420.22
106,2,2020-09-23,Preventive,,2.2,255.93
107,2,2020-10-19,Preventive,,3.0,831.03
108,2,2020-11-19,Preventive,,3.6,875.48
109,2,2020-12-21,Preventive,,2.1,315.13
110,2,2021-01-23,Preventive,,3.4,395.46
111,2,2021-01-28,Failure,Hydraulic leak,2.1,3690.23
112,2,2021-02-21,Preventive,,2.2,635.08
113,2,2021-03-20,Preventive,,2.9,513.51
114,2,2021-04-16,Preventive,,2.6,854.35
115,2,2021-05-14,Preventive,,2.0,370.02
116,2,2021-06-09,Preventive,,3.0,210.66
117,2,2021-07-07,Preventive,,1.2,694.45
118,2,2021-08-10,Preventive,,1.8,384.14
119,2,2021-09-12,Preventive,,1.6,658.15
120,2,2021-10-14,Preventive,,1.8,330.11
121,2,2021-11-09,Preventive,,1.7,433.01
122,2,2021-12-11,Preventive,,3.3,661.8
123,2,2022-01-11,Preventive,,2.7,533.05
124,2,2022-02-14,Preventive,,3.6,580.64
125,2,2022-03-20,Preventive,,2.2,319.3
126,2,2022-04-18,Preventive,,2.1,304.72
127,2,2022-05-17,Preventive,,3.4,576.03
128,2,2022-06-12,Preventive,,1.6,308.98
129,2,2022-07-10,Preventive,,2.4,488.71
130,2,2022-08-11,Preventive,,1.7,423.8
131,2,2022-08-18,Failure,Web break,9.4,2574.32
132,2,2022-08-25,Failure,Hydraulic leak,8.7,1520.83
133,2,2022-09-13,Preventive,,2.8,509.12
134,2,2022-10-03,Failure,Bearing wear,2.4,1980.79
135,2,2022-10-17,Preventive,,1.7,444.86
136,2,2022-11-16,Preventive,,1.6,625.82
137,2,2022-12-17,Preventive,,3.1,628.83
138,2,2023-01-15,Preventive,,2.0,753.81
139,2,2023-02-16,Preventive,,3.3,430.73
140,2,2023-03-10,Failure,Control fault,4.9,868.1
141,2,2023-03-14,Preventive,,2.5,455.77
142,2,2023-04-12,Failure,Web break,4.7,1215.44
143,2,2023-04-14,Preventive,,2.9,866.45
144,2,2023-04-29,Failure,Web break,6.4,2601.45
145,2,2023-05-16,Preventive,,1.7,347.89
146,2,2023-06-17,Preventive,,1.2,506.52
147,2,2023-06-18,Failure,Hydraulic leak,9.5,2934.49
148,2,2023-07-14,Preventive,,4.0,688.13
149,2,2023-08-10,Preventive,,2.5,677.47
150,2,2023-09-11,Preventive,,1.4,269.4
151,2,2023-09-15,Failure,Bearing wear,3.9,1083.95
152,2,2023-10-13,Preventive,,1.0,558.37
153,2,2023-11-14,Preventive,,1.4,798.77
154,2,2023-12-13,Preventive,,3.8,220.65
155,3,2019-01-27,Preventive,,2.9,566.83
156,3,2019-02-27,Preventive,,1.2,546.75
157,3,2019-03-31,Preventive,,2.3,299.62
158,3,2019-04-30,Preventive,,3.3,600.61
159,3,2019-05-23,Failure,Hydraulic leak,4.8,629.13
160,3,2019-06-01,Preventive,,3.2,634.11
161,3,2019-06-27,Preventive,,1.9,591.29
162,3,2019-07-26,Preventive,,2.0,221.32
163,3,2019-08-29,Preventive,,1.4,763.04
164,3,2019-09-30,Preventive,,3.6,536.21
165,3,2019-10-16,Failure,Blade dull,5.1,379.71
166,3,2019-10-27,Preventive,,3.7,679.64
167,3,2019-11-30,Preventive,,2.2,534.21
168,3,2019-12-16,Failure,Blade dull,2.0,728.12
169,3,2020-01-03,Preventive,,1.3,514.18
170,3,2020-01-09,Failure,Motor overheat,7.3,3728.96
171,3,2020-02-03,Preventive,,2.4,582.48
172,3,2020-03-01,Preventive,,1.5,251.01
173,3,2020-03-24,Failure,Bearing wear,5.9,2107.52
174,3,2020-04-02,Preventive,,1.1,513.37
175,3,2020-04-29,Preventive,,2.1,599.09
176,3,2020-05-26,Failure,Hydraulic leak,7.3,1882.07
177,3,2020-06-02,Preventive,,2.7,763.83
178,3,2020-07-01,Preventive,,3.4,247.31
179,3,2020-07-27,Preventive,,3.0,630.09
180,3,2020-08-13,Failure,Web break,2.7,1033.19
181,3,2020-08-30,Preventive,,3.5,550.78
182,3,2020-09-17,Failure,Web break,1.6,1010.21
183,3,2020-09-27,Preventive,,1.7,546.64
184,3,2020-10-05,Failure,Hydraulic leak,1.9,2447.84
185,3,2020-10-18,Failure,Roller misalignment,3.7,1387.66
186,3,2020-10-29,Preventive,,2.0,341.43
187,3,2020-11-27,Preventive,,2.8,456.29
188,3,2020-12-30,Preventive,,3.9,679.42
189,3,2021-02-01,Preventive,,1.8,479.66
190,3,2021-02-08,Failure,Motor overheat,3.0,2840.65
191,3,2021-03-02,Failure,Bearing wear,2.5,2605.62
192,3,2021-03-06,Preventive,,2.3,448.68
193,3,2021-03-14,Failure,Roller misalignment,3.1,1343.0
194,3,2021-04-03,Preventive,,2.3,457.33
195,3,2021-05-04,Preventive,,1.1,221.97
196,3,2021-05-30,Preventive,,2.7,240.8
197,3,2021-06-28,Preventive,,1.8,554.72
198,3,2021-07-30,Preventive,,1.6,357.31
199,3,2021-08-27,Preventive,,3.2,549.73
200,3,2021-09-24,Preventive,,3.1,386.47
201,3,2021-10-25,Preventive,,3.1,876.11
202,3,2021-11-21,Preventive,,3.1,676.33
203,3,2021-12-25,Preventive,,1.9,645.34
204,3,2022-01-21,Preventive,,2.8,515.47
205,3,2022-02-22,Preventive,,2.8,306.24
206,3,2022-03-04,Failure,Roller misalignment,2.6,1490.14
207,3,2022-03-27,Preventive,,1.8,299.3
208,3,2022-04-25,Preventive,,1.2,356.34
209,3,2022-05-24,Preventive,,2.0,734.39
210,3,2022-06-09,Failure,Control fault,6.1,4249.99
211,3,2022-06-19,Preventive,,1.7,729.59
212,3,2022-06-23,Failure,Motor overheat,5.1,1212.23
213,3,2022-06-26,Failure,Control fault,2.3,1161.1
214,3,2022-07-21,Preventive,,1.8,538.73
215,3,2022-08-03,Failure,Roller misalignment,3.3,1094.76
216,3,2022-08-19,Failure,Web break,1.6,2393.18
217,3,2022-08-24,Preventive,,3.0,859.82
218,3,2022-09-22,Preventive,,1.7,490.86
219,3,2022-10-20,Preventive,,2.3,563.95
220,3,2022-11-22,Preventive,,3.7,776.6
221,3,2022-11-24,Failure,Blade dull,9.1,399.64
222,3,2022-12-19,Preventive,,1.9,270.62
223,3,2023-01-20,Preventive,,2.9,467.99
224,3,2023-02-12,Failure,Blade dull,10.0,4682.92
225,3,2023-02-22,Preventive,,3.1,638.05
226,3,2023-03-06,Failure,Blade dull,1.0,1298.13
227,3,2023-03-26,Preventive,,1.9,415.83
228,3,2023-04-04,Failure,Hydraulic leak,1.5,2604.96
229,3,2023-04-20,Failure,Bearing wear,7.5,4458.34
230,3,2023-04-25,Preventive,,2.2,602.89
231,3,2023-05-23,Preventive,,2.3,358.3
232,3,2023-06-20,Preventive,,2.3,656.51
233,3,2023-06-30,Failure,Hydraulic leak,2.5,706.83
234,3,2023-07-23,Preventive,,2.9,202.54
235,3,2023-08-19,Preventive,,1.0,514.48
236,3,2023-09-10,Failure,Hydraulic leak,11.1,1811.25
237,3,2023-09-21,Preventive,,2.7,718.52
238,3,2023-10-17,Preventive,,2.5,651.36
239,3,2023-11-18,Preventive,,2.7,833.31
240,3,2023-12-19,Preventive,,1.1,357.28
241,4,2019-01-09,Preventive,,1.2,321.83
242,4,2019-02-07,Preventive,,1.6,852.55
243,4,2019-03-08,Preventive,,3.0,631.74
244,4,2019-04-04,Preventive,,3.6,870.24
245,4,2019-05-01,Preventive,,3.1,306.82
246,4,2019-05-01,Failure,Control fault,2.3,2954.85
247,4,2019-06-01,Preventive,,1.8,655.83
248,4,2019-07-02,Preventive,,2.4,499.68
249,4,2019-08-03,Preventive,,2.1,241.12
250,4,2019-09-02,Preventive,,3.3,685.63
251,4,2019-09-30,Preventive,,1.5,820.39
252,4,2019-10-27,Preventive,,3.9,786.99
253,4,2019-11-30,Preventive,,2.7,521.87
254,4,2019-12-27,Preventive,,2.5,228.21
255,4,2020-01-22,Preventive,,2.8,689.66
256,4,2020-02-17,Failure,Blade dull,4.3,3004.09
257,4,2020-02-19,Preventive,,2.4,604.49
258,4,2020-03-17,Preventive,,3.2,605.32
259,4,2020-04-13,Preventive,,1.6,690.98
260,4,2020-05-14,Preventive,,3.0,235.14
261,4,2020-05-28,Failure,Control fault,1.9,959.43
262,4,2020-06-12,Preventive,,2.5,392.47
263,4,2020-07-11,Preventive,,2.4,464.33
264,4,2020-08-08,Failure,Bearing wear,2.6,4203.88
265,4,2020-08-10,Preventive,,2.7,788.75
266,4,2020-08-23,Failure,Blade dull,1.6,2142.14
267,4,2020-09-06,Preventive,,3.7,639.17
268,4,2020-10-02,Preventive,,3.8,449.75
269,4,2020-10-30,Preventive,,2.6,407.53
270,4,2020-11-03,Failure,Web break,1.1,629.48
271,4,2020-11-11,Failure,Bearing wear,1.8,6117.98
272,4,2020-11-12,Failure,Bearing wear,1.6,523.8
273,4,2020-11-25,Preventive,,2.6,595.55
274,4,2020-12-27,Preventive,,2.9,850.51
275,4,2020-12-31,Failure,Bearing wear,2.3,2486.35
276,4,2021-01-28,Preventive,,2.4,455.59
277,4,2021-02-23,Preventive,,2.3,455.74
278,4,2021-03-21,Preventive,,1.8,511.56
279,4,2021-04-17,Preventive,,2.5,708.06
