ORDER_NO,CUST_ID,BRANCH,ORDER_DT,SHIP_DT,STATUS,AMT
ORD0054169,2037,10,11/02/2022,11/06/2022,FULFILLED,"$1,045.68"
ORD0011087,348,1,10/13/2022,10/14/2022,FULFILLED,$141.58
ORD0018756,1354,10,01/09/2023,01/11/2023,FULFILLED,$401.08
ORD0012531,24,10,11/09/2022,11/13/2022,FULFILLED,$498.96
ORD0070919,2050,6,12/17/2021,12/20/2021,FULFILLED,$695.71
ORD0031629,637,7,04/25/2023,04/27/2023,FULFILLED,"$1,101.40"
ORD0007353,1451,1,03/19/2023,03/22/2023,FULFILLED,$333.32
ORD0036163,117,1,02/10/2021,02/12/2021,FULFILLED,$133.80
ORD0004717,1737,8,03/05/2022,03/07/2022,FULFILLED,$325.84
ORD0057773,1869,9,12/09/2020,12/14/2020,FULFILLED,"$5,215.68"
ORD0033761,1570,1,07/20/2021,07/21/2021,FULFILLED,"$1,009.39"
ORD0032016,2141,9,02/28/2023,03/04/2023,RETURNED,$702.67
ORD0041822,1428,3,07/21/2019,07/26/2019,FULFILLED,$277.44
ORD0028630,2433,3,10/20/2019,10/21/2019,FULFILLED,"$1,513.97"
ORD0008494,2345,1,10/31/2023,11/01/2023,FULFILLED,$850.93
ORD0041267,227,3,07/17/2019,07/18/2019,FULFILLED,$121.02
ORD0063011,1600,9,01/06/2020,01/09/2020,FULFILLED,$872.79
ORD0024432,777,3,07/20/2020,07/25/2020,FULFILLED,$831.56
ORD0026330,1997,5,07/30/2020,08/02/2020,FULFILLED,"$1,040.16"
ORD0043486,2205,8,11/19/2020,11/20/2020,FULFILLED,"$1,136.92"
ORD0027533,1440,5,12/29/2022,01/01/2023,FULFILLED,"$2,353.08"
ORD0026957,1750,10,03/19/2019,03/20/2019,FULFILLED,$325.83
ORD0059304,2169,9,07/02/2019,07/06/2019,FULFILLED,$623.88
ORD0023777,229,7,12/13/2021,12/18/2021,FULFILLED,"$1,162.88"
ORD0030902,2475,5,10/28/2022,10/30/2022,FULFILLED,$183.04
ORD0037778,1379,1,02/18/2019,,CANCELLED,$320.09
ORD0058620,1038,6,12/27/2023,12/29/2023,FULFILLED,"$1,712.44"
ORD0006126,237,10,04/19/2022,04/20/2022,FULFILLED,$723.44
ORD0000614,385,5,04/25/2023,04/27/2023,RETURNED,$958.05
ORD0048916,1415,1,10/31/2023,11/03/2023,FULFILLED,$284.34
ORD0008936,1411,8,03/01/2020,03/02/2020,RETURNED,"$1,168.38"
ORD0008937,13,3,05/27/2019,05/28/2019,FULFILLED,"$1,191.73"
ORD0019703,350,4,12/08/2023,12/13/2023,RETURNED,$335.77
ORD0014421,1004,7,04/15/2019,04/16/2019,FULFILLED,$89.87
ORD0059305,1710,5,03/20/2022,03/25/2022,RETURNED,$315.54
ORD0070405,2064,9,05/10/2023,,CANCELLED,"$2,212.21"
ORD0026363,2410,8,10/25/2022,10/29/2022,FULFILLED,"$1,171.05"
ORD0054122,2249,3,06/17/2022,06/22/2022,FULFILLED,$990.77
ORD0024999,282,4,06/11/2022,06/16/2022,FULFILLED,$687.04
ORD0021096,1718,4,12/31/2019,01/04/2020,FULFILLED,"$2,584.19"
ORD0020190,1802,4,06/01/2023,06/04/2023,FULFILLED,$705.43
ORD0001669,1984,9,09/07/2021,09/11/2021,FULFILLED,$459.72
ORD0040070,2336,1,11/14/2022,11/18/2022,FULFILLED,$935.18
ORD0009174,2208,1,01/09/2023,01/12/2023,FULFILLED,$615.92
ORD0036472,2481,9,05/11/2019,05/15/2019,FULFILLED,$851.10
ORD0059986,1566,1,11/27/2023,11/28/2023,FULFILLED,$589.80
ORD0060466,969,4,08/02/2021,08/04/2021,FULFILLED,$508.76
ORD0069303,37,6,07/28/2021,08/01/2021,FULFILLED,"$1,584.54"
ORD0039582,1953,4,07/28/2023,07/29/2023,FULFILLED,$932.35
ORD0039256,430,8,09/18/2022,09/22/2022,FULFILLED,$214.94
ORD0013399,712,10,01/26/2022,,CANCELLED,$328.58
ORD0059415,2361,1,12/05/2021,12/08/2021,FULFILLED,$403.49
ORD0037118,2184,4,07/23/2021,07/28/2021,FULFILLED,$193.76
ORD0060909,1919,5,08/25/2023,08/28/2023,FULFILLED,$44.60
ORD0069010,1421,4,11/21/2019,11/26/2019,FULFILLED,$348.64
ORD0001798,1030,1,12/08/2023,12/09/2023,FULFILLED,"$1,897.21"
ORD0019337,289,7,11/05/2021,11/09/2021,FULFILLED,"$1,527.36"
ORD0041159,1348,4,12/05/2022,12/06/2022,FULFILLED,$774.76
ORD0052217,1649,5,09/18/2019,09/23/2019,FULFILLED,$358.42
ORD0038720,1964,8,10/25/2023,10/29/2023,FULFILLED,"$1,169.34"
ORD0068657,875,4,06/13/2023,06/16/2023,FULFILLED,$163.26
ORD0027703,1855,7,11/21/2022,11/26/2022,FULFILLED,$358.68
ORD0021702,2289,6,02/21/2023,02/25/2023,FULFILLED,$780.73
ORD0057438,1522,6,02/15/2020,02/20/2020,FULFILLED,$24.20
ORD0060075,938,9,03/23/2022,03/24/2022,FULFILLED,$445.58
ORD0054464,2441,4,06/07/2020,06/09/2020,FULFILLED,$117.22
ORD0068248,420,9,01/04/2023,01/07/2023,RETURNED,"$1,131.72"
ORD0034360,195,7,08/25/2021,08/28/2021,FULFILLED,"$1,860.16"
ORD0030506,1499,7,12/06/2019,12/07/2019,FULFILLED,$639.66
ORD0017560,746,3,03/19/2023,03/21/2023,FULFILLED,$396.73
ORD0011481,1717,7,09/03/2021,09/08/2021,FULFILLED,$241.57
ORD0025378,417,1,03/22/2021,03/23/2021,FULFILLED,$374.98
ORD0053749,204,1,01/31/2023,02/05/2023,FULFILLED,$289.52
ORD0066647,1866,7,08/12/2019,08/17/2019,RETURNED,$406.14
ORD0040247,712,9,10/07/2022,10/12/2022,FULFILLED,$311.00
ORD0065342,1881,8,12/10/2021,12/13/2021,FULFILLED,$381.15
ORD0064691,1857,6,12/18/2020,12/20/2020,FULFILLED,$691.90
ORD0042939,982,5,02/05/2021,02/09/2021,FULFILLED,$168.84
ORD0021844,53,4,05/26/2020,05/27/2020,RETURNED,"$1,080.95"
ORD0009974,343,5,09/25/2023,09/28/2023,FULFILLED,"$1,365.85"
ORD0063983,2230,1,06/08/2023,06/11/2023,FULFILLED,$300.44
ORD0036023,706,6,11/22/2019,11/25/2019,FULFILLED,$630.35
ORD0029567,520,6,11/09/2021,11/14/2021,FULFILLED,$390.92
ORD0003251,702,1,03/28/2023,03/31/2023,FULFILLED,"$1,300.34"
ORD0037711,564,6,07/14/2023,07/15/2023,FULFILLED,$622.46
ORD0034005,1371,4,02/12/2021,02/14/2021,FULFILLED,"$1,028.99"
ORD0041553,647,4,09/24/2019,09/29/2019,FULFILLED,"$1,246.82"
ORD0000921,1284,3,04/17/2023,04/22/2023,FULFILLED,"$1,117.25"
ORD0001682,1780,1,02/16/2021,02/18/2021,FULFILLED,$293.58
ORD0052127,65,6,11/15/2022,11/20/2022,FULFILLED,$885.30
ORD0052307,1230,2,07/28/2019,07/30/2019,FULFILLED,$875.97
ORD0050921,1832,7,02/25/2019,03/01/2019,FULFILLED,"$1,719.98"
ORD0052020,914,1,09/29/2020,10/02/2020,FULFILLED,$225.22
ORD0007177,557,9,07/31/2022,08/05/2022,FULFILLED,"$1,143.28"
ORD0064703,555,5,02/28/2020,03/04/2020,FULFILLED,$165.08
ORD0057193,2251,2,01/07/2020,01/09/2020,FULFILLED,$392.02
ORD0048469,1945,9,08/12/2022,08/13/2022,FULFILLED,$618.96
ORD0036143,1407,1,07/12/2021,07/13/2021,FULFILLED,$278.37
ORD0016535,308,6,08/18/2019,08/19/2019,FULFILLED,$817.93
ORD0047033,1443,1,04/18/2022,04/21/2022,FULFILLED,$129.75
ORD0017232,1518,3,05/03/2019,05/04/2019,FULFILLED,$954.97
ORD0043436,1377,6,12/29/2022,01/03/2023,FULFILLED,"$1,952.10"
ORD0066420,1234,1,10/02/2023,10/07/2023,FULFILLED,$687.42
ORD0036836,740,1,06/19/2021,06/21/2021,FULFILLED,"$1,620.25"
ORD0039655,906,1,06/02/2023,06/05/2023,FULFILLED,$89.87
ORD0064105,1055,9,11/07/2019,11/10/2019,FULFILLED,$250.32
ORD0028225,460,1,09/17/2019,09/21/2019,RETURNED,$26.61
ORD0017755,1480,1,08/02/2023,08/05/2023,RETURNED,$159.30
