Order Date,Branch,Customer,Product,Qty,Amount
2026-03-02,Buffalo,APEX TECHNOLOGY,Cardstock,115,"$1,426.00"
2026-03-02,Buffalo,CUMBERLAND MILLS,Cardstock,315,"$3,906.00"
2026-03-02,Buffalo,DUNMORE HIGH SCHOOL,Cardstock,331,"$4,104.40"
2026-03-02,Buffalo,Harper Collins Realty,Legal Pad,203,$964.25
2026-03-02,Buffalo,Harper Collins Realty,Ledger,113,"$1,604.60"
2026-03-02,Buffalo,lackawanna county,Envelope,125,$787.50
2026-03-02,Buffalo,Lackawanna County,Letterhead,115,"$1,104.00"
2026-03-02,Buffalo,Lackawanna County,Letterhead,158,"$1,516.80"
2026-03-02,Buffalo,Penn Paper Supply,Copy Paper,195,"$1,530.75"
2026-03-02,Buffalo,Scranton Business Park,Copy Paper,145,"$1,138.25"
2026-03-02,Buffalo,Scranton White Pages,Legal Pad,228,"$1,083.00"
2026-03-02,Buffalo,Steamtown Mall,Envelope,265,"$1,669.50"
2026-03-02,Buffalo,Steamtown Mall,Letterhead,245,"$2,352.00"
2026-03-02,Buffalo,Vance Refrigeration,Letterhead,158,"$1,516.80"
2026-03-03,Buffalo,Apex Technology,Cardstock,197,"$2,442.80"
2026-03-03,Buffalo,  Cumberland Mills ,Legal Pad,51,$242.25
2026-03-03,Buffalo,Dunmore High School,Cardstock,88,"$1,091.20"
2026-03-03,Buffalo,DUNMORE HIGH SCHOOL,Copy Paper,118,$926.30
2026-03-03,Buffalo,Harper Collins Realty,Copy Paper,20,$157.00
2026-03-03,Buffalo,Lackawanna County,Copy Paper,185,"$1,452.25"
2026-03-03,Buffalo,Lackawanna County,Ledger,335,"$4,757.00"
2026-03-03,Buffalo,Lackawanna County,Legal Pad,192,$912.00
2026-03-03,Buffalo,Lackawanna County,Ledger,176,"$2,499.20"
2026-03-03,Buffalo,Penn Paper Supply,Envelope,251,"$1,581.30"
2026-03-03,Buffalo,scranton business park,Legal Pad,18,$85.50
2026-03-03,Buffalo,SCRANTON BUSINESS PARK,Envelope,172,"$1,083.60"
2026-03-03,Buffalo,Scranton Business Park,Legal Pad,70,$332.50
2026-03-03,Buffalo,Scranton White Pages,Envelope,195,"$1,228.50"
2026-03-03,Buffalo,Scranton White Pages,Letterhead,93,$892.80
2026-03-03,Buffalo,Steamtown Mall,Legal Pad,112,$532.00
2026-03-03,Buffalo,Steamtown Mall,Copy Paper,160,"$1,256.00"
2026-03-03,Buffalo,Vance Refrigeration,Copy Paper,96,$753.60
2026-03-04,Buffalo,  Cumberland Mills ,Envelope,238,"$1,499.40"
2026-03-04,Buffalo,Dunmore High School,Copy Paper,196,"$1,538.60"
2026-03-04,Buffalo,Dunmore High School,Letterhead,173,"$1,660.80"
2026-03-04,Buffalo,Harper Collins Realty,Legal Pad,242,"$1,149.50"
2026-03-04,Buffalo,harper collins realty,Copy Paper,49,$384.65
2026-03-04,Buffalo, lackawanna county,Copy Paper,269,"$2,111.65"
2026-03-04,Buffalo,PENN PAPER SUPPLY,Legal Pad,255,"$1,211.25"
2026-03-04,Buffalo, penn paper supply,Ledger,169,"$2,399.80"
2026-03-04,Buffalo,Penn Paper Supply,Legal Pad,206,$978.50
2026-03-04,Buffalo,  Scranton Business Park ,Copy Paper,122,$957.70
2026-03-04,Buffalo,  Scranton White Pages ,Cardstock,99,"$1,227.60"
2026-03-04,Buffalo, scranton white pages,Ledger,139,"$1,973.80"
2026-03-04,Buffalo,Scranton White Pages,Envelope,124,$781.20
2026-03-04,Buffalo,Steamtown Mall,Cardstock,88,"$1,091.20"
2026-03-04,Buffalo, vance refrigeration,Copy Paper,278,"$2,182.30"
2026-03-05,Buffalo, dunmore high school,Cardstock,272,"$3,372.80"
2026-03-05,Buffalo,  Dunmore High School ,Cardstock,128,"$1,587.20"
2026-03-05,Buffalo,harper collins realty,Envelope,273,"$1,719.90"
2026-03-05,Buffalo, harper collins realty,Envelope,62,$390.60
2026-03-05,Buffalo,  Harper Collins Realty ,Cardstock,38,$471.20
2026-03-05,Buffalo,penn paper supply,Cardstock,256,"$3,174.40"
2026-03-05,Buffalo,SCRANTON BUSINESS PARK,Envelope,290,"$1,827.00"
2026-03-05,Buffalo, scranton business park,Cardstock,175,"$2,170.00"
2026-03-05,Buffalo,  Scranton Business Park ,Copy Paper,16,$125.60
2026-03-05,Buffalo,Scranton White Pages,Ledger,178,"$2,527.60"
2026-03-05,Buffalo,Vance Refrigeration,Letterhead,143,"$1,372.80"
2026-03-06,Buffalo,Cumberland Mills,Letterhead,108,"$1,036.80"
2026-03-06,Buffalo,cumberland mills,Copy Paper,101,$792.85
2026-03-06,Buffalo,LACKAWANNA COUNTY,Copy Paper,25,$196.25
2026-03-06,Buffalo,LACKAWANNA COUNTY,Ledger,142,"$2,016.40"
2026-03-06,Buffalo,PENN PAPER SUPPLY,Letterhead,36,$345.60
2026-03-06,Buffalo,  Penn Paper Supply ,Cardstock,319,"$3,955.60"
2026-03-06,Buffalo, scranton business park,Envelope,87,$548.10
2026-03-06,Buffalo,SCRANTON BUSINESS PARK,Letterhead,26,$249.60
2026-03-06,Buffalo,STEAMTOWN MALL,Copy Paper,202,"$1,585.70"
2026-03-06,Buffalo,STEAMTOWN MALL,Legal Pad,58,$275.50
2026-03-06,Buffalo,Vance Refrigeration,Letterhead,150,"$1,440.00"
