Order Date,Branch,Customer,Product,Qty,Amount
2026-03-02,Nashua,cumberland mills,Envelope,248,"$1,562.40"
2026-03-02,Nashua,DUNMORE HIGH SCHOOL,Letterhead,263,"$2,524.80"
2026-03-02,Nashua,Dunmore High School,Legal Pad,48,$228.00
2026-03-02,Nashua,LACKAWANNA COUNTY,Copy Paper,135,"$1,059.75"
2026-03-02,Nashua,SCRANTON BUSINESS PARK,Legal Pad,207,$983.25
2026-03-02,Nashua,SCRANTON WHITE PAGES,Copy Paper,196,"$1,538.60"
2026-03-02,Nashua,  Vance Refrigeration ,Cardstock,95,"$1,178.00"
2026-03-03,Nashua,Cumberland Mills,Envelope,126,$793.80
2026-03-03,Nashua,  Cumberland Mills ,Letterhead,63,$604.80
2026-03-03,Nashua,Harper Collins Realty,Envelope,77,$485.10
2026-03-03,Nashua,LACKAWANNA COUNTY,Letterhead,138,"$1,324.80"
2026-03-03,Nashua,LACKAWANNA COUNTY,Cardstock,149,"$1,847.60"
2026-03-03,Nashua,SCRANTON WHITE PAGES,Cardstock,286,"$3,546.40"
2026-03-03,Nashua,Scranton White Pages,Letterhead,99,$950.40
2026-03-03,Nashua,Steamtown Mall,Legal Pad,126,$598.50
2026-03-03,Nashua,  Vance Refrigeration ,Cardstock,222,"$2,752.80"
2026-03-03,Nashua,Vance Refrigeration,Ledger,246,"$3,493.20"
2026-03-04,Nashua,Apex Technology,Copy Paper,326,"$2,559.10"
2026-03-04,Nashua,  Cumberland Mills ,Cardstock,181,"$2,244.40"
2026-03-04,Nashua,Cumberland Mills,Envelope,65,$409.50
2026-03-04,Nashua,DUNMORE HIGH SCHOOL,Letterhead,62,$595.20
2026-03-04,Nashua,Dunmore High School,Ledger,208,"$2,953.60"
2026-03-04,Nashua,Harper Collins Realty,Copy Paper,305,"$2,394.25"
2026-03-04,Nashua,Lackawanna County,Letterhead,53,$508.80
2026-03-04,Nashua,Lackawanna County,Envelope,61,$384.30
2026-03-04,Nashua,penn paper supply,Cardstock,115,"$1,426.00"
2026-03-04,Nashua,SCRANTON WHITE PAGES,Copy Paper,318,"$2,496.30"
2026-03-04,Nashua,vance refrigeration,Letterhead,316,"$3,033.60"
2026-03-04,Nashua,Vance Refrigeration,Cardstock,182,"$2,256.80"
2026-03-04,Nashua,Vance Refrigeration,Ledger,237,"$3,365.40"
2026-03-05,Nashua,Apex Technology,Envelope,112,$705.60
2026-03-05,Nashua,Apex Technology,Envelope,88,$554.40
2026-03-05,Nashua,Apex Technology,Legal Pad,241,"$1,144.75"
2026-03-05,Nashua,HARPER COLLINS REALTY,Envelope,294,"$1,852.20"
2026-03-05,Nashua,Harper Collins Realty,Envelope,49,$308.70
2026-03-05,Nashua,HARPER COLLINS REALTY,Copy Paper,229,"$1,797.65"
2026-03-05,Nashua,Lackawanna County,Copy Paper,304,"$2,386.40"
2026-03-05,Nashua,lackawanna county,Legal Pad,12,$57.00
2026-03-05,Nashua,  Lackawanna County ,Ledger,300,"$4,260.00"
2026-03-05,Nashua,Lackawanna County,Letterhead,158,"$1,516.80"
2026-03-05,Nashua,scranton business park,Legal Pad,12,$57.00
2026-03-05,Nashua,scranton business park,Ledger,219,"$3,109.80"
2026-03-05,Nashua,  Scranton White Pages ,Ledger,62,$880.40
2026-03-05,Nashua,SCRANTON WHITE PAGES,Legal Pad,291,"$1,382.25"
2026-03-05,Nashua,scranton white pages,Ledger,188,"$2,669.60"
2026-03-05,Nashua,STEAMTOWN MALL,Cardstock,270,"$3,348.00"
2026-03-05,Nashua,STEAMTOWN MALL,Ledger,304,"$4,316.80"
2026-03-05,Nashua, vance refrigeration,Cardstock,197,"$2,442.80"
2026-03-05,Nashua,vance refrigeration,Letterhead,155,"$1,488.00"
2026-03-06,Nashua,Apex Technology,Cardstock,122,"$1,512.80"
2026-03-06,Nashua,apex technology,Cardstock,292,"$3,620.80"
2026-03-06,Nashua,Apex Technology,Copy Paper,318,"$2,496.30"
2026-03-06,Nashua,Apex Technology,Ledger,25,$355.00
2026-03-06,Nashua,Cumberland Mills,Ledger,72,"$1,022.40"
2026-03-06,Nashua,DUNMORE HIGH SCHOOL,Cardstock,250,"$3,100.00"
2026-03-06,Nashua,DUNMORE HIGH SCHOOL,Letterhead,325,"$3,120.00"
2026-03-06,Nashua,Dunmore High School,Copy Paper,304,"$2,386.40"
2026-03-06,Nashua,dunmore high school,Envelope,18,$113.40
2026-03-06,Nashua,Harper Collins Realty,Copy Paper,259,"$2,033.15"
2026-03-06,Nashua,harper collins realty,Ledger,68,$965.60
2026-03-06,Nashua,LACKAWANNA COUNTY,Letterhead,97,$931.20
2026-03-06,Nashua,LACKAWANNA COUNTY,Copy Paper,65,$510.25
2026-03-06,Nashua,Lackawanna County,Ledger,162,"$2,300.40"
2026-03-06,Nashua,Lackawanna County,Legal Pad,306,"$1,453.50"
2026-03-06,Nashua,Scranton Business Park,Letterhead,38,$364.80
2026-03-06,Nashua,Scranton Business Park,Legal Pad,305,"$1,448.75"
2026-03-06,Nashua,SCRANTON BUSINESS PARK,Ledger,44,$624.80
2026-03-06,Nashua,Scranton Business Park,Cardstock,336,"$4,166.40"
2026-03-06,Nashua,SCRANTON WHITE PAGES,Copy Paper,264,"$2,072.40"
2026-03-06,Nashua,Scranton White Pages,Cardstock,13,$161.20
2026-03-06,Nashua,VANCE REFRIGERATION,Cardstock,326,"$4,042.40"
