Order Date,Branch,Customer,Product,Qty,Amount
2026-03-02,Utica,  Apex Technology ,Legal Pad,306,"$1,453.50"
2026-03-02,Utica,DUNMORE HIGH SCHOOL,Envelope,157,$989.10
2026-03-02,Utica,HARPER COLLINS REALTY,Letterhead,328,"$3,148.80"
2026-03-02,Utica,Lackawanna County,Letterhead,93,$892.80
2026-03-02,Utica,  Lackawanna County ,Ledger,249,"$3,535.80"
2026-03-02,Utica, lackawanna county,Ledger,312,"$4,430.40"
2026-03-02,Utica,  Lackawanna County ,Copy Paper,212,"$1,664.20"
2026-03-02,Utica,penn paper supply,Envelope,333,"$2,097.90"
2026-03-02,Utica,Penn Paper Supply,Legal Pad,293,"$1,391.75"
2026-03-02,Utica,Penn Paper Supply,Copy Paper,169,"$1,326.65"
2026-03-02,Utica,Scranton Business Park,Letterhead,149,"$1,430.40"
2026-03-02,Utica,Scranton White Pages,Cardstock,9,$111.60
2026-03-02,Utica,Steamtown Mall,Ledger,279,"$3,961.80"
2026-03-03,Utica,Apex Technology,Cardstock,31,$384.40
2026-03-03,Utica,Apex Technology,Copy Paper,272,"$2,135.20"
2026-03-03,Utica,Dunmore High School,Letterhead,153,"$1,468.80"
2026-03-03,Utica,LACKAWANNA COUNTY,Copy Paper,13,$102.05
2026-03-03,Utica,Lackawanna County,Legal Pad,62,$294.50
2026-03-03,Utica,lackawanna county,Envelope,65,$409.50
2026-03-03,Utica,PENN PAPER SUPPLY,Letterhead,235,"$2,256.00"
2026-03-03,Utica,Scranton Business Park,Cardstock,122,"$1,512.80"
2026-03-03,Utica,SCRANTON WHITE PAGES,Letterhead,101,$969.60
2026-03-03,Utica,Scranton White Pages,Legal Pad,25,$118.75
2026-03-03,Utica,Steamtown Mall,Ledger,24,$340.80
2026-03-03,Utica,Steamtown Mall,Letterhead,279,"$2,678.40"
2026-03-03,Utica,Vance Refrigeration,Legal Pad,308,"$1,463.00"
2026-03-04,Utica,APEX TECHNOLOGY,Legal Pad,131,$622.25
2026-03-04,Utica,apex technology,Envelope,179,"$1,127.70"
2026-03-04,Utica,CUMBERLAND MILLS,Envelope,68,$428.40
2026-03-04,Utica,Cumberland Mills,Letterhead,124,"$1,190.40"
2026-03-04,Utica,Cumberland Mills,Copy Paper,73,$573.05
2026-03-04,Utica,Cumberland Mills,Legal Pad,316,"$1,501.00"
2026-03-04,Utica,Lackawanna County,Legal Pad,106,$503.50
2026-03-04,Utica,Penn Paper Supply,Letterhead,247,"$2,371.20"
2026-03-04,Utica,Penn Paper Supply,Envelope,147,$926.10
2026-03-04,Utica,SCRANTON BUSINESS PARK,Envelope,181,"$1,140.30"
2026-03-04,Utica,Vance Refrigeration,Ledger,233,"$3,308.60"
2026-03-05,Utica,apex technology,Copy Paper,35,$274.75
2026-03-05,Utica, cumberland mills,Ledger,16,$227.20
2026-03-05,Utica,Dunmore High School,Cardstock,204,"$2,529.60"
2026-03-05,Utica,harper collins realty,Letterhead,254,"$2,438.40"
2026-03-05,Utica,Harper Collins Realty,Copy Paper,274,"$2,150.90"
2026-03-05,Utica,Scranton White Pages,Copy Paper,327,"$2,566.95"
2026-03-05,Utica,  Scranton White Pages ,Envelope,59,$371.70
2026-03-05,Utica,SCRANTON WHITE PAGES,Envelope,281,"$1,770.30"
2026-03-05,Utica,  Scranton White Pages ,Ledger,193,"$2,740.60"
2026-03-05,Utica,Steamtown Mall,Ledger,266,"$3,777.20"
2026-03-05,Utica,steamtown mall,Copy Paper,172,"$1,350.20"
2026-03-05,Utica,STEAMTOWN MALL,Legal Pad,138,$655.50
2026-03-05,Utica,Vance Refrigeration,Envelope,119,$749.70
2026-03-05,Utica,Vance Refrigeration,Envelope,248,"$1,562.40"
2026-03-05,Utica,Vance Refrigeration,Envelope,130,$819.00
2026-03-06,Utica,Apex Technology,Copy Paper,151,"$1,185.35"
2026-03-06,Utica,  Apex Technology ,Ledger,235,"$3,337.00"
2026-03-06,Utica,DUNMORE HIGH SCHOOL,Cardstock,244,"$3,025.60"
2026-03-06,Utica,Dunmore High School,Letterhead,132,"$1,267.20"
2026-03-06,Utica,  Dunmore High School ,Envelope,215,"$1,354.50"
2026-03-06,Utica,HARPER COLLINS REALTY,Letterhead,21,$201.60
2026-03-06,Utica,Penn Paper Supply,Letterhead,133,"$1,276.80"
2026-03-06,Utica,PENN PAPER SUPPLY,Letterhead,96,$921.60
2026-03-06,Utica,PENN PAPER SUPPLY,Ledger,235,"$3,337.00"
2026-03-06,Utica,VANCE REFRIGERATION,Cardstock,108,"$1,339.20"
2026-03-06,Utica,VANCE REFRIGERATION,Envelope,45,$283.50
2026-03-06,Utica,Vance Refrigeration,Envelope,13,$81.90
